id,carbohydrate,comment,created_at,fat,meal_type,menu,protein,total_calories,updated_at,file_id
1,40,단백질과 채소로 아침을 가볍게 시작,2026-01-01 00:00:00.000000,10,B,닭가슴살 샐러드,25,300,2026-01-01 00:00:00.000000,1
2,55,포만감과 단백질 균형을 고려한 점심,2026-01-01 00:00:00.000000,15,L,현미밥+두부스테이크,25,400,2026-01-01 00:00:00.000000,1
3,45,저녁은 단백질과 건강한 지방 중심,2026-01-01 00:00:00.000000,20,D,연어구이+야채볶음,35,500,2026-01-01 00:00:00.000000,1
4,20,간식으로 단백질 보충,2026-01-01 00:00:00.000000,10,S,그릭요거트+견과,10,200,2026-01-01 00:00:00.000000,1
5,200,아침에 소화가 좋고 단백질 보충 가능,2026-02-10 07:56:30.037838,40,B,귀리죽과 삶은 달걀,90,330,2026-02-10 07:56:30.037838,1
6,150,점심으로 단백질과 섬유질 강화,2026-02-10 07:56:30.037838,100,L,두부 스테이크와 샐러드,220,470,2026-02-10 07:56:30.037838,1
7,180,저녁 단백질 중심 식사,2026-02-10 07:56:30.037838,160,D,닭다리 구이와 채소볶음,240,580,2026-02-10 07:56:30.037838,1
8,130,간식으로 간편한 에너지 공급,2026-02-10 07:56:30.037838,40,S,사과와 땅콩버터,50,220,2026-02-10 07:56:30.037838,1
9,160,아침으로 단백질과 비타민 보충,2026-02-10 07:56:30.037838,60,B,토마토 오믈렛,120,340,2026-02-10 07:56:30.037838,1
10,250,점심으로 탄수화물과 채소 균형,2026-02-10 07:56:30.037838,80,L,현미 비빔밥,150,480,2026-02-10 07:56:30.037838,1
11,180,저녁으로 고단백 식사,2026-02-10 07:56:30.037838,170,D,돼지 등심 구이와 샐러드,260,610,2026-02-10 07:56:30.037838,1
12,140,간식으로 단백질과 섬유질 보충,2026-02-10 07:56:30.037838,30,S,그릭 요거트와 그래놀라,60,230,2026-02-10 07:56:30.037838,1
13,180,아침에 건강한 지방과 단백질 공급,2026-02-10 07:56:30.037838,60,B,통곡물 토스트와 아보카도,90,330,2026-02-10 07:56:30.037838,1
14,200,점심으로 단백질과 오메가3 보충,2026-02-10 07:56:30.037838,80,L,연어 덮밥,180,460,2026-02-10 07:56:30.037838,1
15,150,저녁으로 단백질 중심 식사,2026-02-10 07:56:30.037838,150,D,치킨 샐러드,250,550,2026-02-10 07:56:30.037838,1
16,120,간식으로 간편한 영양 공급,2026-02-10 07:56:30.037838,40,S,바나나와 요거트 스무디,50,210,2026-02-10 07:56:30.037838,1
17,180,아침 식사로 포만감과 비타민 보충,2026-02-10 07:56:30.037838,50,B,오트밀과 딸기,90,320,2026-02-10 07:56:30.037838,1
18,150,점심 단백질 강화 식단,2026-02-10 07:56:30.037838,100,L,닭가슴살 샐러드,200,450,2026-02-10 07:56:30.037838,1
19,160,저녁 단백질과 철분 보충,2026-02-10 07:56:30.037838,200,D,연어 구이와 시금치,240,600,2026-02-10 07:56:30.037838,1
20,130,간식으로 에너지와 단백질 보충,2026-02-10 07:56:30.037838,50,S,아몬드와 건포도,50,230,2026-02-10 07:56:30.037838,1
21,150,아침으로 단백질과 섬유질 보충,2026-02-10 07:56:30.037838,40,B,삶은 달걀과 샐러드,120,310,2026-02-10 07:56:30.037838,1
22,200,점심으로 단백질과 탄수화물 균형,2026-02-10 07:56:30.037838,50,L,현미밥과 두부구이,220,470,2026-02-10 07:56:30.037838,1
23,180,저녁 고단백 식사,2026-02-10 07:56:30.037838,160,D,닭다리 구이와 브로콜리,240,580,2026-02-10 07:56:30.037838,1
24,120,간식으로 가벼운 영양 공급,2026-02-10 07:56:30.037838,50,S,사과와 요거트,50,220,2026-02-10 07:56:30.037838,1
25,160,아침 단백질과 탄수화물 공급,2026-02-10 07:56:30.037838,60,B,토마토 오믈렛과 통밀빵,120,340,2026-02-10 07:56:30.037838,1
26,150,점심 단백질과 건강 지방 공급,2026-02-10 07:56:30.037838,110,L,연어 샐러드,200,460,2026-02-10 07:56:30.037838,1
27,180,저녁 고단백 식사,2026-02-10 07:56:30.037838,170,D,소고기 구이와 채소볶음,260,610,2026-02-10 07:56:30.037838,1
28,120,간식으로 에너지와 단백질 공급,2026-02-10 07:56:30.037838,40,S,바나나와 아몬드버터,50,210,2026-02-10 07:56:30.037838,1
29,180,아침으로 포만감과 단백질 제공,2026-02-10 07:56:30.037838,50,B,귀리죽과 달걀,90,320,2026-02-10 07:56:30.037838,1
30,250,점심 균형 식사,2026-02-10 07:56:30.037838,80,L,현미 비빔밥과 닭가슴살,150,480,2026-02-10 07:56:30.037838,1
31,150,저녁 단백질과 건강 지방 공급,2026-02-10 07:56:30.037838,200,D,연어 스테이크와 채소,250,600,2026-02-10 07:56:30.037838,1
32,140,간식으로 단백질과 항산화 제공,2026-02-10 07:56:30.037838,30,S,그릭 요거트와 블루베리,60,230,2026-02-10 07:56:30.037838,1
33,180,아침 건강 지방과 단백질 보충,2026-02-10 07:56:30.037838,60,B,토스트와 아보카도,90,330,2026-02-10 07:56:30.037838,1
34,150,점심 단백질 강화,2026-02-10 07:56:30.037838,100,L,닭가슴살 샐러드,200,450,2026-02-10 07:56:30.037838,1
35,180,저녁 고단백 식사,2026-02-10 07:56:30.037838,160,D,닭다리 구이와 브로콜리,240,580,2026-02-10 07:56:30.037838,1
36,130,간식으로 에너지 제공,2026-02-10 07:56:30.037838,40,S,바나나와 땅콩버터,50,220,2026-02-10 07:56:30.037838,1
37,180,아침 포만감과 비타민 공급,2026-02-10 07:56:30.037838,50,B,오트밀과 딸기,90,320,2026-02-10 07:56:30.037838,1
38,200,점심 단백질과 오메가3 보충,2026-02-10 07:56:30.037838,80,L,연어 덮밥,180,460,2026-02-10 07:56:30.037838,1
39,150,저녁 단백질 중심 식사,2026-02-10 07:56:30.037838,150,D,치킨 샐러드,250,550,2026-02-10 07:56:30.037838,1
40,140,간식 단백질과 섬유질 보충,2026-02-10 07:56:30.037838,30,S,그릭 요거트와 그래놀라,60,230,2026-02-10 07:56:30.037838,1
41,150,아침 단백질과 섬유질 보충,2026-02-10 07:56:30.037838,40,B,삶은 달걀과 샐러드,120,310,2026-02-10 07:56:30.037838,1
42,200,점심 단백질과 탄수화물 균형,2026-02-10 07:56:30.037838,50,L,현미밥과 두부구이,220,470,2026-02-10 07:56:30.037838,1
43,180,저녁 고단백 식사,2026-02-10 07:56:30.037838,160,D,닭다리 구이와 브로콜리,240,580,2026-02-10 07:56:30.037838,1
44,120,간식 가벼운 영양 공급,2026-02-10 07:56:30.037838,50,S,사과와 요거트,50,220,2026-02-10 07:56:30.037838,1
45,160,아침 단백질과 탄수화물 공급,2026-02-10 07:56:30.037838,60,B,토마토 오믈렛과 통밀빵,120,340,2026-02-10 07:56:30.037838,1
46,150,점심 단백질과 건강 지방 공급,2026-02-10 07:56:30.037838,110,L,연어 샐러드,200,460,2026-02-10 07:56:30.037838,1
