id,content,created_at,board_id,member_id
1,좋은 게시글입니다!,2026-02-10 08:14:07.296150,1,1
2,정말 유용한 정보네요.,2026-02-10 08:14:07.296150,3,2
3,이 내용에 대해 더 알고 싶습니다.,2026-02-10 08:14:07.296150,4,3
4,많은 도움이 되었습니다.,2026-02-10 08:14:07.296150,5,4
5,추천하고 싶은 글이에요.,2026-02-10 08:14:07.296150,1,5
6,읽으면서 이해가 잘 되네요.,2026-02-10 08:14:07.296150,3,6
7,좋은 팁 감사합니다.,2026-02-10 08:14:07.296150,4,7
8,다음 글도 기대됩니다.,2026-02-10 08:14:07.296150,5,8
9,이 부분은 조금 수정이 필요할 듯해요.,2026-02-10 08:14:07.296150,1,9
10,정말 공감되는 내용이에요.,2026-02-10 08:14:07.296150,3,10
11,저에게 큰 도움이 되었어요.,2026-02-10 08:14:07.296150,4,11
12,이 정보는 꼭 공유하고 싶네요.,2026-02-10 08:14:07.296150,5,12
13,배우는 점이 많습니다.,2026-02-10 08:14:07.296150,1,1
14,좋은 글 감사합니다.,2026-02-10 08:14:07.296150,3,2
15,핵심을 잘 짚으셨네요.,2026-02-10 08:14:07.296150,4,3
16,더 많은 사례가 있었으면 좋겠어요.,2026-02-10 08:14:07.296150,5,4
17,알찬 내용이라 만족스럽습니다.,2026-02-10 08:14:07.296150,1,5
18,조금 더 그림이나 예시가 있었으면 해요.,2026-02-10 08:14:07.296150,3,6
19,매우 유익했습니다.,2026-02-10 08:14:07.296150,4,7
20,좋은 참고자료네요.,2026-02-10 08:14:07.296150,5,8
21,다음 글도 기다리고 있습니다.,2026-02-10 08:14:07.296150,1,9
22,내용이 명확해서 이해하기 쉬워요.,2026-02-10 08:14:07.296150,3,10
23,적절한 예시가 도움이 되네요.,2026-02-10 08:14:07.296150,4,11
24,좋은 분석 감사합니다.,2026-02-10 08:14:07.296150,5,12
25,새로운 정보를 알게 되었어요.,2026-02-10 08:14:07.296150,1,1
26,잘 정리된 글입니다.,2026-02-10 08:14:07.296150,3,2
27,유용한 팁이에요.,2026-02-10 08:14:07.296150,4,3
28,다음 글도 기대됩니다.,2026-02-10 08:14:07.296150,5,4
29,읽고 나니 이해가 훨씬 쉬워졌습니다.,2026-02-10 08:14:07.296150,1,5
30,이 글은 꼭 기억하고 싶네요.,2026-02-10 08:14:07.296150,3,6
31,좋아요!,2026-02-10 08:14:07.296150,4,7
32,정말 유용합니다.,2026-02-10 08:14:07.296150,5,8
33,흥미로운 글이네요.,2026-02-10 08:14:07.296150,1,9
34,좋은 정보에 감사드립니다.,2026-02-10 08:14:07.296150,3,10
35,알찬 내용이네요.,2026-02-10 08:14:07.296150,4,11
36,많이 배웠습니다.,2026-02-10 08:14:07.296150,5,12
37,좋은 자료 공유 감사합니다.,2026-02-10 08:14:07.296150,1,1
38,더 많은 글 기대할게요.,2026-02-10 08:14:07.296150,3,2
39,이해가 잘 되네요.,2026-02-10 08:14:07.296150,4,3
40,공감되는 글이에요.,2026-02-10 08:14:07.296150,5,4
41,좋아요!,2026-02-10 08:14:07.296150,1,5
42,정말 유익합니다.,2026-02-10 08:14:07.296150,3,6
43,설명이 좋네요.,2026-02-10 08:14:07.296150,4,7
44,많은 도움이 되었어요.,2026-02-10 08:14:07.296150,5,8
45,재미있게 읽었습니다.,2026-02-10 08:14:07.296150,1,9
46,훌륭한 자료입니다.,2026-02-10 08:14:07.296150,3,10
47,좋은 글이에요.,2026-02-10 08:14:07.296150,4,11
48,많이 배웠습니다.,2026-02-10 08:14:07.296150,5,12
49,감사합니다.,2026-02-10 08:14:07.296150,1,1
50,잘 읽었습니다.,2026-02-10 08:14:07.296150,3,2
51,좋아요!,2026-02-10 08:14:07.296150,4,3
52,많이 참고가 되네요.,2026-02-10 08:14:07.296150,5,4
53,정리 잘 되어 있어요.,2026-02-10 08:14:07.296150,1,5
54,유익했습니다.,2026-02-10 08:14:07.296150,3,6
55,좋은 팁이에요.,2026-02-10 08:14:07.296150,4,7
56,내용이 알차네요.,2026-02-10 08:14:07.296150,5,8
57,읽어볼 만한 글입니다.,2026-02-10 08:14:07.296150,1,9
58,더 많은 글 기대합니다.,2026-02-10 08:14:07.296150,3,10
59,감사합니다.,2026-02-10 08:14:07.296150,4,11
60,정말 좋네요.,2026-02-10 08:14:07.296150,5,12
61,좋아요!,2026-02-10 08:14:07.296150,1,1
62,다음 글도 기대됩니다.,2026-02-10 08:14:07.296150,3,2
63,정말 유익합니다.,2026-02-10 08:14:07.296150,4,3
64,잘 읽었습니다.,2026-02-10 08:14:07.296150,5,4
65,좋은 정보네요.,2026-02-10 08:14:07.296150,1,5
66,많은 도움이 됩니다.,2026-02-10 08:14:07.296150,3,6
67,유용한 글이에요.,2026-02-10 08:14:07.296150,4,7
68,좋아요.,2026-02-10 08:14:07.296150,5,8
69,정말 감사합니다.,2026-02-10 08:14:07.296150,1,9
70,많이 배웠습니다.,2026-02-10 08:14:07.296150,3,10
71,좋아요!,2026-02-10 08:14:07.296150,4,11
72,유익하네요.,2026-02-10 08:14:07.296150,5,12
73,좋은 자료입니다.,2026-02-10 08:14:07.296150,1,1
74,읽기 편하네요.,2026-02-10 08:14:07.296150,3,2
75,감사합니다.,2026-02-10 08:14:07.296150,4,3
76,정리 잘 되어 있습니다.,2026-02-10 08:14:07.296150,5,4
77,많이 참고가 되네요.,2026-02-10 08:14:07.296150,1,5
78,좋아요!,2026-02-10 08:14:07.296150,3,6
79,재미있게 읽었습니다.,2026-02-10 08:14:07.296150,4,7
80,정말 유용해요.,2026-02-10 08:14:07.296150,5,8
81,좋아요!,2026-02-10 08:14:07.296150,1,9
82,읽기 편하네요.,2026-02-10 08:14:07.296150,3,10
83,유용합니다.,2026-02-10 08:14:07.296150,4,11
84,많이 배웠습니다.,2026-02-10 08:14:07.296150,5,12
85,좋아요!,2026-02-10 08:14:07.296150,1,1
86,정말 좋네요.,2026-02-10 08:14:07.296150,3,2
87,재미있게 읽었습니다.,2026-02-10 08:14:07.296150,4,3
88,감사합니다.,2026-02-10 08:14:07.296150,5,4
89,많은 도움이 되네요.,2026-02-10 08:14:07.296150,1,5
90,좋아요!,2026-02-10 08:14:07.296150,3,6
91,좋아요!,2026-02-10 08:14:07.296150,4,7
92,유익합니다.,2026-02-10 08:14:07.296150,5,8
